 4| Вершина |  BFS-номер |           Вміст черги        |
--|---------|------------|------------------------------|
  |     4   |        1   | 4  
  |  ----   |     ----   | 10 13 14 4 6 11 18 1  
  |     8   |       12   | 10 13 14 4 6 11 18 1 8  
  |    17   |       13   | 10 13 14 4 6 11 18 1 8 17  
  |  ----   |     ----   | 13 14 4 6 11 18 1 8 17  
  |     3   |       14   | 13 14 4 6 11 18 1 8 17 3  
  |     7   |       15   | 13 14 4 6 11 18 1 8 17 3 7  
  |    12   |       16   | 13 14 4 6 11 18 1 8 17 3 7 12  
  |  ----   |     ----   | 14 4 6 11 18 1 8 17 3 7 12  
  |    19   |       17   | 14 4 6 11 18 1 8 17 3 7 12 19  
  |  ----   |     ----   | 4 6 11 18 1 8 17 3 7 12 19  
  |  ----   |     ----   | 6 11 18 1 8 17 3 7 12 19  
  |    15   |       18   | 6 11 18 1 8 17 3 7 12 19 15  
  |    16   |       19   | 6 11 18 1 8 17 3 7 12 19 15 16  
  |  ----   |     ----   | 11 18 1 8 17 3 7 12 19 15 16  
  |  ----   |     ----   | 18 1 8 17 3 7 12 19 15 16  
  |  ----   |     ----   | 1 8 17 3 7 12 19 15 16  
  |    20   |       20   | 1 8 17 3 7 12 19 15 16 20  
  |  ----   |     ----   | 8 17 3 7 12 19 15 16 20  
  |  ----   |     ----   | 17 3 7 12 19 15 16 20  
  |  ----   |     ----   | 3 7 12 19 15 16 20  
  |  ----   |     ----   | 7 12 19 15 16 20  
  |  ----   |     ----   | 12 19 15 16 20  
  |  ----   |     ----   | 19 15 16 20  
  |  ----   |     ----   | 15 16 20  
  |  ----   |     ----   | 16 20  
  |  ----   |     ----   | 20  

 9| Вершина |  DFS-номер |           Вміст стеку        |
--|---------|------------|------------------------------|
  |     9   |        1   |  9  
  |     2   |        2   |  9 2  
  |     4   |        3   |  9 2 4  
  |    10   |        4   |  9 2 4 10  
  |     1   |        5   |  9 2 4 10 1  
  |     5   |        6   |  9 2 4 10 1 5  
  |    11   |        7   |  9 2 4 10 1 5 11  
  |     8   |        8   |  9 2 4 10 1 5 11 8  
  |     3   |        9   |  9 2 4 10 1 5 11 8 3  
  |     6   |       10   |  9 2 4 10 1 5 11 8 3 6  
  |    15   |       11   |  9 2 4 10 1 5 11 8 3 6 15  
  |    19   |       12   |  9 2 4 10 1 5 11 8 3 6 15 19  
  |     7   |       13   |  9 2 4 10 1 5 11 8 3 6 15 19 7  
  |    13   |       14   |  9 2 4 10 1 5 11 8 3 6 15 19 7 13  
  |    12   |       15   |  9 2 4 10 1 5 11 8 3 6 15 19 7 13 12  
  |    14   |       16   |  9 2 4 10 1 5 11 8 3 6 15 19 7 13 12 14  
  |    18   |       17   |  9 2 4 10 1 5 11 8 3 6 15 19 7 13 12 14 18  
  |  ----   |     ----   |  9 2 4 10 1 5 11 8 3 6 15 19 7 13 12 14  
  |  ----   |     ----   |  9 2 4 10 1 5 11 8 3 6 15 19 7 13 12  
  |    20   |       18   |  9 2 4 10 1 5 11 8 3 6 15 19 7 13 12 20  
  |    16   |       19   |  9 2 4 10 1 5 11 8 3 6 15 19 7 13 12 20 16  
  |  ----   |     ----   |  9 2 4 10 1 5 11 8 3 6 15 19 7 13 12 20  
  |  ----   |     ----   |  9 2 4 10 1 5 11 8 3 6 15 19 7 13 12  
  |  ----   |     ----   |  9 2 4 10 1 5 11 8 3 6 15 19 7 13  
  |  ----   |     ----   |  9 2 4 10 1 5 11 8 3 6 15 19 7  
  |    17   |       20   |  9 2 4 10 1 5 11 8 3 6 15 19 7 17  
  |  ----   |     ----   |  9 2 4 10 1 5 11 8 3 6 15 19 7  
  |  ----   |     ----   |  9 2 4 10 1 5 11 8 3 6 15 19  
  |  ----   |     ----   |  9 2 4 10 1 5 11 8 3 6 15  
  |  ----   |     ----   |  9 2 4 10 1 5 11 8 3 6  
  |  ----   |     ----   |  9 2 4 10 1 5 11 8 3  
  |  ----   |     ----   |  9 2 4 10 1 5 11 8  
  |  ----   |     ----   |  9 2 4 10 1 5 11  
  |  ----   |     ----   |  9 2 4 10 1 5  
  |  ----   |     ----   |  9 2 4 10 1  
  |  ----   |     ----   |  9 2 4 10  
  |  ----   |     ----   |  9 2 4  
  |  ----   |     ----   |  9 2  
  |  ----   |     ----   |  9  





16| Вершина |  BFS-номер |           Вміст черги        |
--|---------|------------|------------------------------|
  |    16   |        1   | 16  
  |     6   |        2   | 16 6  
  |    19   |        3   | 16 6 19  
  |    20   |        4   | 16 6 19 20  
  |  ----   |     ----   | 6 19 20  
  |     2   |        5   | 6 19 20 2  
  |     3   |        6   | 6 19 20 2 3  
  |    10   |        7   | 6 19 20 2 3 10  
  |    15   |        8   | 6 19 20 2 3 10 15  
  |  ----   |     ----   | 19 20 2 3 10 15  
  |     7   |        9   | 19 20 2 3 10 15 7  
  |     8   |       10   | 19 20 2 3 10 15 7 8  
  |    12   |       11   | 19 20 2 3 10 15 7 8 12  
  |    14   |       12   | 19 20 2 3 10 15 7 8 12 14  
  |    18   |       13   | 19 20 2 3 10 15 7 8 12 14 18  
  |  ----   |     ----   | 20 2 3 10 15 7 8 12 14 18  
  |     1   |       14   | 20 2 3 10 15 7 8 12 14 18 1  
  |  ----   |     ----   | 2 3 10 15 7 8 12 14 18 1  
  |     4   |       15   | 2 3 10 15 7 8 12 14 18 1 4  
  |     9   |       16   | 2 3 10 15 7 8 12 14 18 1 4 9  
  |    11   |       17   | 2 3 10 15 7 8 12 14 18 1 4 9 11  
  |  ----   |     ----   | 3 10 15 7 8 12 14 18 1 4 9 11  
  |    13   |       18   | 3 10 15 7 8 12 14 18 1 4 9 11 13  
  |  ----   |     ----   | 10 15 7 8 12 14 18 1 4 9 11 13  
  |     5   |       19   | 10 15 7 8 12 14 18 1 4 9 11 13 5  
  |    17   |       20   | 10 15 7 8 12 14 18 1 4 9 11 13 5 17  
  |  ----   |     ----   | 15 7 8 12 14 18 1 4 9 11 13 5 17  
  |  ----   |     ----   | 7 8 12 14 18 1 4 9 11 13 5 17  
  |  ----   |     ----   | 8 12 14 18 1 4 9 11 13 5 17  
  |  ----   |     ----   | 12 14 18 1 4 9 11 13 5 17  
  |  ----   |     ----   | 14 18 1 4 9 11 13 5 17  
  |  ----   |     ----   | 18 1 4 9 11 13 5 17  
  |  ----   |     ----   | 1 4 9 11 13 5 17  
  |  ----   |     ----   | 4 9 11 13 5 17  
  |  ----   |     ----   | 9 11 13 5 17  
  |  ----   |     ----   | 11 13 5 17  
  |  ----   |     ----   | 13 5 17  
  |  ----   |     ----   | 5 17  
  |  ----   |     ----   | 17  

16| Вершина |  DFS-номер |           Вміст стеку        |
--|---------|------------|------------------------------|
  |    16   |        1   |  16  
  |     6   |        2   |  16 6  
  |     2   |        3   |  16 6 2  
  |     4   |        4   |  16 6 2 4  
  |    10   |        5   |  16 6 2 4 10  
  |     1   |        6   |  16 6 2 4 10 1  
  |     5   |        7   |  16 6 2 4 10 1 5  
  |     9   |        8   |  16 6 2 4 10 1 5 9  
  |    13   |        9   |  16 6 2 4 10 1 5 9 13  
  |     3   |       10   |  16 6 2 4 10 1 5 9 13 3  
  |     8   |       11   |  16 6 2 4 10 1 5 9 13 3 8  
  |     7   |       12   |  16 6 2 4 10 1 5 9 13 3 8 7  
  |    14   |       13   |  16 6 2 4 10 1 5 9 13 3 8 7 14  
  |    11   |       14   |  16 6 2 4 10 1 5 9 13 3 8 7 14 11  
  |    12   |       15   |  16 6 2 4 10 1 5 9 13 3 8 7 14 11 12  
  |    19   |       16   |  16 6 2 4 10 1 5 9 13 3 8 7 14 11 12 19  
  |    15   |       17   |  16 6 2 4 10 1 5 9 13 3 8 7 14 11 12 19 15  
  |  ----   |     ----   |  16 6 2 4 10 1 5 9 13 3 8 7 14 11 12 19  
  |    18   |       18   |  16 6 2 4 10 1 5 9 13 3 8 7 14 11 12 19 18  
  |  ----   |     ----   |  16 6 2 4 10 1 5 9 13 3 8 7 14 11 12 19  
  |  ----   |     ----   |  16 6 2 4 10 1 5 9 13 3 8 7 14 11 12  
  |    20   |       19   |  16 6 2 4 10 1 5 9 13 3 8 7 14 11 12 20  
  |  ----   |     ----   |  16 6 2 4 10 1 5 9 13 3 8 7 14 11 12  
  |  ----   |     ----   |  16 6 2 4 10 1 5 9 13 3 8 7 14 11  
  |  ----   |     ----   |  16 6 2 4 10 1 5 9 13 3 8 7 14  
  |  ----   |     ----   |  16 6 2 4 10 1 5 9 13 3 8 7  
  |    17   |       20   |  16 6 2 4 10 1 5 9 13 3 8 7 17  
  |  ----   |     ----   |  16 6 2 4 10 1 5 9 13 3 8 7  
  |  ----   |     ----   |  16 6 2 4 10 1 5 9 13 3 8  
  |  ----   |     ----   |  16 6 2 4 10 1 5 9 13 3  
  |  ----   |     ----   |  16 6 2 4 10 1 5 9 13  
  |  ----   |     ----   |  16 6 2 4 10 1 5 9  
  |  ----   |     ----   |  16 6 2 4 10 1 5  
  |  ----   |     ----   |  16 6 2 4 10 1  
  |  ----   |     ----   |  16 6 2 4 10  
  |  ----   |     ----   |  16 6 2 4  
  |  ----   |     ----   |  16 6 2  
  |  ----   |     ----   |  16 6  
  |  ----   |     ----   |  16  






20| Вершина |  BFS-номер |           Вміст черги        |
--|---------|------------|------------------------------|
  |    20   |        1   | 20  
  |     1   |        2   | 20 1  
  |    12   |        3   | 20 1 12  
  |    16   |        4   | 20 1 12 16  
  |  ----   |     ----   | 1 12 16  
  |     5   |        5   | 1 12 16 5  
  |    10   |        6   | 1 12 16 5 10  
  |    18   |        7   | 1 12 16 5 10 18  
  |  ----   |     ----   | 12 16 5 10 18  
  |     8   |        8   | 12 16 5 10 18 8  
  |    11   |        9   | 12 16 5 10 18 8 11  
  |    13   |       10   | 12 16 5 10 18 8 11 13  
  |    14   |       11   | 12 16 5 10 18 8 11 13 14  
  |    19   |       12   | 12 16 5 10 18 8 11 13 14 19  
  |  ----   |     ----   | 16 5 10 18 8 11 13 14 19  
  |     6   |       13   | 16 5 10 18 8 11 13 14 19 6  
  |  ----   |     ----   | 5 10 18 8 11 13 14 19 6  
  |     9   |       14   | 5 10 18 8 11 13 14 19 6 9  
  |  ----   |     ----   | 10 18 8 11 13 14 19 6 9  
  |     4   |       15   | 10 18 8 11 13 14 19 6 9 4  
  |    17   |       16   | 10 18 8 11 13 14 19 6 9 4 17  
  |  ----   |     ----   | 18 8 11 13 14 19 6 9 4 17  
  |     2   |       17   | 18 8 11 13 14 19 6 9 4 17 2  
  |     7   |       18   | 18 8 11 13 14 19 6 9 4 17 2 7  
  |  ----   |     ----   | 8 11 13 14 19 6 9 4 17 2 7  
  |     3   |       19   | 8 11 13 14 19 6 9 4 17 2 7 3  
  |    15   |       20   | 8 11 13 14 19 6 9 4 17 2 7 3 15  
  |  ----   |     ----   | 11 13 14 19 6 9 4 17 2 7 3 15  
  |  ----   |     ----   | 13 14 19 6 9 4 17 2 7 3 15  
  |  ----   |     ----   | 14 19 6 9 4 17 2 7 3 15  
  |  ----   |     ----   | 19 6 9 4 17 2 7 3 15  
  |  ----   |     ----   | 6 9 4 17 2 7 3 15  
  |  ----   |     ----   | 9 4 17 2 7 3 15  
  |  ----   |     ----   | 4 17 2 7 3 15  
  |  ----   |     ----   | 17 2 7 3 15  
  |  ----   |     ----   | 2 7 3 15  
  |  ----   |     ----   | 7 3 15  
  |  ----   |     ----   | 3 15  
  |  ----   |     ----   | 15  

20| Вершина |  DFS-номер |           Вміст стеку        |
--|---------|------------|------------------------------|
  |    20   |        1   |  20  
  |     1   |        2   |  20 1  
  |     5   |        3   |  20 1 5  
  |     9   |        4   |  20 1 5 9  
  |     2   |        5   |  20 1 5 9 2  
  |     4   |        6   |  20 1 5 9 2 4  
  |    10   |        7   |  20 1 5 9 2 4 10  
  |     6   |        8   |  20 1 5 9 2 4 10 6  
  |     3   |        9   |  20 1 5 9 2 4 10 6 3  
  |     8   |       10   |  20 1 5 9 2 4 10 6 3 8  
  |     7   |       11   |  20 1 5 9 2 4 10 6 3 8 7  
  |    13   |       12   |  20 1 5 9 2 4 10 6 3 8 7 13  
  |    11   |       13   |  20 1 5 9 2 4 10 6 3 8 7 13 11  
  |    12   |       14   |  20 1 5 9 2 4 10 6 3 8 7 13 11 12  
  |    14   |       15   |  20 1 5 9 2 4 10 6 3 8 7 13 11 12 14  
  |    18   |       16   |  20 1 5 9 2 4 10 6 3 8 7 13 11 12 14 18  
  |    19   |       17   |  20 1 5 9 2 4 10 6 3 8 7 13 11 12 14 18 19  
  |    15   |       18   |  20 1 5 9 2 4 10 6 3 8 7 13 11 12 14 18 19 15  
  |  ----   |     ----   |  20 1 5 9 2 4 10 6 3 8 7 13 11 12 14 18 19  
  |    16   |       19   |  20 1 5 9 2 4 10 6 3 8 7 13 11 12 14 18 19 16  
  |  ----   |     ----   |  20 1 5 9 2 4 10 6 3 8 7 13 11 12 14 18 19  
  |  ----   |     ----   |  20 1 5 9 2 4 10 6 3 8 7 13 11 12 14 18  
  |  ----   |     ----   |  20 1 5 9 2 4 10 6 3 8 7 13 11 12 14  
  |  ----   |     ----   |  20 1 5 9 2 4 10 6 3 8 7 13 11 12  
  |  ----   |     ----   |  20 1 5 9 2 4 10 6 3 8 7 13 11  
  |  ----   |     ----   |  20 1 5 9 2 4 10 6 3 8 7 13  
  |  ----   |     ----   |  20 1 5 9 2 4 10 6 3 8 7  
  |    17   |       20   |  20 1 5 9 2 4 10 6 3 8 7 17  
  |  ----   |     ----   |  20 1 5 9 2 4 10 6 3 8 7  
  |  ----   |     ----   |  20 1 5 9 2 4 10 6 3 8  
  |  ----   |     ----   |  20 1 5 9 2 4 10 6 3  
  |  ----   |     ----   |  20 1 5 9 2 4 10 6  
  |  ----   |     ----   |  20 1 5 9 2 4 10  
  |  ----   |     ----   |  20 1 5 9 2 4  
  |  ----   |     ----   |  20 1 5 9 2  
  |  ----   |     ----   |  20 1 5 9  
  |  ----   |     ----   |  20 1 5  
  |  ----   |     ----   |  20 1  
  |  ----   |     ----   |  20  
